id_votacao,data,descricao,deputado_id,deputado_nome,partidoSigla,uf,voto
2204088-88,2024-09-09,,226708,Allan Garcês,PP,MA,Sim
2204088-88,2024-09-09,,72442,Felipe Carreras,PSB,PE,Sim
2204088-88,2024-09-09,,74262,Carlos Sampaio,PSD,SP,Sim
2204088-88,2024-09-09,,107970,Ana Paula Leão,PP,MG,Sim
2204088-88,2024-09-09,,178866,Luizianne Lins,PT,CE,Sim
2204088-88,2024-09-09,,220704,Carol Dartora,PT,PR,Sim
2204088-88,2024-09-09,,156190,Marcel van Hattem,NOVO,RS,Sim
2204088-88,2024-09-09,,220566,Lêda Borges,PSDB,GO,Sim
2204088-88,2024-09-09,,74858,Lindbergh Farias,PT,RJ,Sim
2204088-88,2024-09-09,,74374,Geraldo Resende,PSDB,MS,Sim
2204088-88,2024-09-09,,220594,Coronel Assis,UNIÃO,MT,Sim
2204088-88,2024-09-09,,220602,Dimas Gadelha,PT,RJ,Sim
2204088-88,2024-09-09,,220606,Reimont,PT,RJ,Sim
2204088-88,2024-09-09,,191923,Flávio Nogueira,PT,PI,Sim
2204088-88,2024-09-09,,212625,Dr. Gonçalo,PODE,MA,Sim
2204088-88,2024-09-09,,204406,Pedro Westphalen,PP,RS,Sim
2204088-88,2024-09-09,,220645,Erika Hilton,PSOL,SP,Sim
2204088-88,2024-09-09,,98148,Cobalchini,MDB,SC,Sim
2204088-88,2024-09-09,,73778,Luiz Carlos Hauly,PODE,PR,Sim
2204088-88,2024-09-09,,204528,Adriana Ventura,NOVO,SP,Sim
2204088-88,2024-09-09,,220635,Bruno Ganem,PODE,SP,Sim
2204088-88,2024-09-09,,220694,Ricardo Maia,MDB,BA,Sim
2204088-88,2024-09-09,,221339,Dr. Benjamim,UNIÃO,MA,Sim
2204088-88,2024-09-09,,220655,Mario Frias,PL,SP,Sim
2204088-88,2024-09-09,,220703,Neto Carletto,PP,BA,Sim
2204088-88,2024-09-09,,104552,Socorro Neri,PP,AC,Sim
2204088-88,2024-09-09,,204444,Helio Lopes,PL,RJ,Sim
2204088-88,2024-09-09,,74052,Bosco Costa,PL,SE,Sim
2204088-88,2024-09-09,,220530,Messias Donato,REPUBLICANOS,ES,Sim
2204088-88,2024-09-09,,220571,Daniel Agrobom,PL,GO,Sim
2204088-88,2024-09-09,,220663,Eriberto Medeiros,PSB,PE,Sim
2204088-88,2024-09-09,,226179,Gisela Simona,UNIÃO,MT,Sim
2204088-88,2024-09-09,,141487,Luiz Fernando Faria,PSD,MG,Sim
2204088-88,2024-09-09,,160600,Arthur Oliveira Maia,UNIÃO,BA,Sim
2204088-88,2024-09-09,,220557,Daniela Reinehr,PL,SC,Sim
2204088-88,2024-09-09,,219585,Marco Brasil,PP,PR,Sim
2204088-88,2024-09-09,,73701,Benedita da Silva,PT,RJ,Sim
2204088-88,2024-09-09,,141450,Hugo Leal,PSD,RJ,Sim
2204088-88,2024-09-09,,204479,Nicoletti,UNIÃO,RR,Sim
2204088-88,2024-09-09,,204379,Acácio Favacho,MDB,AP,Sim
2204088-88,2024-09-09,,220625,Delegada Ione,AVANTE,MG,Sim
2204088-88,2024-09-09,,178931,Luciano Ducci,PSB,PR,Sim
2204088-88,2024-09-09,,218086,Ely Santos,REPUBLICANOS,SP,Sim
2204088-88,2024-09-09,,220624,Robinson Faria,PL,RN,Sim
2204088-88,2024-09-09,,204387,Sargento Fahur,PSD,PR,Sim
2204088-88,2024-09-09,,220583,Delegado Fabio Costa,PP,AL,Sim
2204088-88,2024-09-09,,220699,Castro Neto,PSD,PI,Sim
2204088-88,2024-09-09,,73441,Celso Russomanno,REPUBLICANOS,SP,Sim
2204088-88,2024-09-09,,210989,Bruno Farias,AVANTE,MG,Sim
2204088-88,2024-09-09,,204497,Júnior Ferrari,PSD,PA,Sim
2204088-88,2024-09-09,,227433,Douglas Viegas,UNIÃO,SP,Sim
2204088-88,2024-09-09,,180214,Pastor Diniz,UNIÃO,RR,Sim
2204088-88,2024-09-09,,220651,Simone Marquetto,MDB,SP,Sim
2204088-88,2024-09-09,,74550,João Leão,PP,BA,Sim
2204088-88,2024-09-09,,141531,Rodrigo de Castro,UNIÃO,MG,Sim
2204088-88,2024-09-09,,160592,Zeca Dirceu,PT,PR,Sim
2204088-88,2024-09-09,,204459,Daniela do Waguinho,UNIÃO,RJ,Sim
2204088-88,2024-09-09,,204533,Idilvan Alencar,PDT,CE,Sim
2204088-88,2024-09-09,,220682,Tadeu Veneri,PT,PR,Sim
2204088-88,2024-09-09,,98615,Ismael,PSD,SC,Sim
2204088-88,2024-09-09,,220573,Dorinaldo Malafaia,PDT,AP,Sim
2204088-88,2024-09-09,,220580,Professora Goreth,PDT,AP,Sim
2204088-88,2024-09-09,,220598,Tarcísio Motta,PSOL,RJ,Sim
2204088-88,2024-09-09,,204566,Marreca Filho,PRD,MA,Sim
2204088-88,2024-09-09,,74317,Júlio Cesar,PSD,PI,Sim
2204088-88,2024-09-09,,74057,Alice Portugal,PCdoB,BA,Sim
2204088-88,2024-09-09,,160599,Dimas Fabiano,PP,MG,Sim
2204088-88,2024-09-09,,220609,Maurício Carvalho,UNIÃO,RO,Sim
2204088-88,2024-09-09,,74084,Raimundo Santos,PSD,PA,Sim
2204088-88,2024-09-09,,204539,Hercílio Coelho Diniz,MDB,MG,Sim
2204088-88,2024-09-09,,220692,Dal Barreto,UNIÃO,BA,Sim
2204088-88,2024-09-09,,224117,Gabriel Mota,REPUBLICANOS,RR,Sim
2204088-88,2024-09-09,,74784,Luiza Erundina,PSOL,SP,Sim
2204088-88,2024-09-09,,160632,Zé Silva,SOLIDARIEDADE,MG,Sim
2204088-88,2024-09-09,,166402,Magda Mofatto,PRD,GO,Sim
2204088-88,2024-09-09,,204494,Fred Costa,PRD,MG,Sim
2204088-88,2024-09-09,,141480,Lázaro Botelho,PP,TO,Sim
2204088-88,2024-09-09,,153423,Renilce Nicodemos,MDB,PA,Sim
2204088-88,2024-09-09,,141391,Arnaldo Jardim,CIDADANIA,SP,Sim
2204088-88,2024-09-09,,220577,Augusto Puppio,MDB,AP,Sim
2204088-88,2024-09-09,,91228,Waldemar Oliveira,AVANTE,PE,Sim
2204088-88,2024-09-09,,220545,Filipe Martins,PL,TO,Sim
2204088-88,2024-09-09,,141431,Fernando Coelho Filho,UNIÃO,PE,Sim
2204088-88,2024-09-09,,178876,Célio Silveira,MDB,GO,Sim
2204088-88,2024-09-09,,221378,Reginete Bispo,PT,RS,Sim
2204088-88,2024-09-09,,66385,Julio Arcoverde,PP,PI,Sim
2204088-88,2024-09-09,,73433,Arlindo Chinaglia,PT,SP,Sim
2204088-88,2024-09-09,,220612,Bebeto,PP,RJ,Sim
2204088-88,2024-09-09,,220661,Matheus Noronha,PL,CE,Sim
2204088-88,2024-09-09,,220691,Diego Coronel,PSD,BA,Sim
2204088-88,2024-09-09,,204398,Felipe Francischini,UNIÃO,PR,Sim
2204088-88,2024-09-09,,220578,Josenildo,PDT,AP,Sim
2204088-88,2024-09-09,,141421,Eduardo da Fonte,PP,PE,Sim
2204088-88,2024-09-09,,220570,Dr. Ismael Alexandrino,PSD,GO,Sim
2204088-88,2024-09-09,,123086,Átila Lira,PP,PI,Sim
2204088-88,2024-09-09,,178873,Helder Salomão,PT,ES,Sim
2204088-88,2024-09-09,,204356,Amaro Neto,REPUBLICANOS,ES,Sim
2204088-88,2024-09-09,,220615,Pastor Henrique Vieira,PSOL,RJ,Sim
2204088-88,2024-09-09,,133439,André Figueiredo,PDT,CE,Sim
2204088-88,2024-09-09,,178993,Carlos Henrique Gaguim,UNIÃO,TO,Sim
2204088-88,2024-09-09,,204526,Luiz Philippe de Orleans e Bragança,PL,SP,Sim
2204088-88,2024-09-09,,160665,Augusto Coutinho,REPUBLICANOS,PE,Sim
2204088-88,2024-09-09,,74283,Vicentinho,PT,SP,Sim
2204088-88,2024-09-09,,160538,Bohn Gass,PT,RS,Sim
2204088-88,2024-09-09,,160629,Romero Rodrigues,PODE,PB,Sim
2204088-88,2024-09-09,,204495,Airton Faleiro,PT,PA,Sim
2204088-88,2024-09-09,,220688,Dr. Francisco,PT,PI,Sim
2204088-88,2024-09-09,,220713,Saullo Vianna,UNIÃO,AM,Sim
2204088-88,2024-09-09,,160556,Padre João,PT,MG,Sim
2204088-88,2024-09-09,,220556,Ana Paula Lima,PT,SC,Sim
2204088-88,2024-09-09,,220567,Jeferson Rodrigues,REPUBLICANOS,GO,Sim
2204088-88,2024-09-09,,165470,Rodrigo Valadares,UNIÃO,SE,Sim
2204088-88,2024-09-09,,204360,Silvia Cristina,PP,RO,Sim
2204088-88,2024-09-09,,220550,Mauricio Marcon,PODE,RS,Sim
2204088-88,2024-09-09,,220644,Rosangela Moro,UNIÃO,SP,Sim
2204088-88,2024-09-09,,222429,Luis Carlos Gomes,REPUBLICANOS,RJ,Sim
2204088-88,2024-09-09,,141518,Paulinho da Força,SOLIDARIEDADE,SP,Sim
2204088-88,2024-09-09,,220527,Jack Rocha,PT,ES,Sim
2204088-88,2024-09-09,,220603,Dani Cunha,UNIÃO,RJ,Sim
2204088-88,2024-09-09,,204391,José Nelto,UNIÃO,GO,Sim
2204088-88,2024-09-09,,204404,Lucas Redecker,PSDB,RS,Sim
2204088-88,2024-09-09,,220539,Defensor Stélio Dener,REPUBLICANOS,RR,Sim
2204088-88,2024-09-09,,220616,Luciano Vieira,REPUBLICANOS,RJ,Sim
2204088-88,2024-09-09,,141485,Luiz Carlos Busato,UNIÃO,RS,Sim
2204088-88,2024-09-09,,204394,Gervásio Maia,PSB,PB,Sim
